"","X","budget","popularity","production_countries","release_date","revenue","runtime","spoken_languages","vote_average","vote_classes","Comp_Universal","Comp_Paramount","Comp_Warner","Comp_20fox","Comp_Columbia","Comp_NewLine","Comp_Disney","Comp_VillageRoadshow","Comp_Miramax","Comp_Pixar","Comp_RelMedia","Comp_MGM","Comp_DreamWorks","Comp_Touchstone","Comp_CanalPlus","genere"
"144",144,150000000,4803528,1,"24/09/2015",128388320,111,1,5.9,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"145",145,145000000,3873494,1,"07/02/2014",272912430,92,1,6.7,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"146",146,175000000,66803149,1,"13/05/2004",497409852,163,1,6.9,"6 a 7",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Science Fiction"
"147",147,145000000,44989192,1,"06/06/2012",746921274,93,1,6.4,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"148",148,140000000,54159392,1,"17/11/2002",431971116,133,1,5.8,"5 a 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"149",149,144000000,6621806,1,"14/07/2016",229147509,116,1,5.3,"5 a 6",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Fantasy"
"150",150,140000000,58485967,1,"01/07/1998",553799566,151,1,6.4,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Action"
"151",151,140000000,91332849,1,"03/07/2002",441818803,88,1,6,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"152",152,70000000,35601665,1,"05/11/2007",195735876,115,1,5.5,"5 a 6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Animation"
"153",153,145000000,56747978,1,"23/01/2016",521170825,95,1,6.7,"6 a 7",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"154",154,145000000,7777477,1,"07/12/2011",694713380,133,1,6.8,"6 a 7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"155",155,145000000,61788035,1,"21/11/2012",306941670,97,1,7.1,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"156",156,100000000,25159168,1,"21/12/2005",202026112,90,1,5.9,"5 a 6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Comedy"
"157",157,140000000,52341226,1,"05/12/2003",456758981,154,1,7.3,"7 a 8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"History"
"158",158,140000000,101599427,1,"03/12/2014",268031828,150,1,5.6,"5 a 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"159",159,150000000,73616808,1,"06/05/2009",385680446,127,1,7.4,"7 a 8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Science Fiction"
"160",160,139000000,82502566,1,"01/05/2002",821708551,121,1,6.8,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"161",161,145000000,10021391,1,"12/06/2014",609123048,102,1,7.6,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"162",162,140000000,56257249,1,"25/02/2016",150680864,127,1,5.3,"5 a 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"163",163,135000000,1788953,1,"28/07/2005",76932943,121,1,4.9,"0 a 5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"164",164,130000000,64798873,1,"05/03/2009",185258983,163,1,7,"7 a 8",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"165",165,140000000,24855701,1,"10/07/1998",285444603,127,1,6.3,"6 a 7",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"166",166,137000000,34981698,1,"19/06/2003",245360480,138,1,5.3,"5 a 6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
